date,parameter,value
2026-01-12,o3,10
2026-01-13,o3,6
2026-01-14,o3,3
2026-01-15,o3,8
2026-01-16,o3,11
2026-01-17,o3,2
2026-01-18,o3,1
2026-01-19,o3,1
2026-01-12,pm10,9
2026-01-13,pm10,6
2026-01-14,pm10,10
2026-01-15,pm10,5
2026-01-16,pm10,6
2026-01-17,pm10,11
2026-01-18,pm10,23
2026-01-19,pm10,27
2026-01-12,pm25,19
2026-01-13,pm25,14
2026-01-14,pm25,27
2026-01-15,pm25,12
2026-01-16,pm25,10
2026-01-17,pm25,27
2026-01-18,pm25,59
2026-01-19,pm25,71
2025-03-29,uvi,0
2025-03-30,uvi,0
2025-03-31,uvi,1
2025-04-01,uvi,1
2025-04-02,uvi,1
2025-04-03,uvi,0
2025-04-04,uvi,0
2025-04-05,uvi,1
